fighter,dob
Derrick Noble,"Aug 14, 1978"
Desmond Green,"Oct 11, 1989"
Devin Clark,"Apr 12, 1990"
Devin Powell,"Mar 01, 1988"
Devonte Smith,"Jul 30, 1993"
Dhiego Lima,"Jan 31, 1989"
Diana Belbita,"Jun 26, 1996"
Diego Brandao,"May 27, 1987"
Diego Ferreira,"Jan 18, 1985"
Diego Lopes,"Dec 30, 1994"
Diego Nunes,"Nov 30, 1982"
Diego Rivas,"Nov 11, 1991"
Diego Sanchez,"Dec 31, 1981"
Diego Saraiva,"Apr 23, 1982"
Dieusel Berto,--
Dileno Lopes,"Sep 26, 1984"
Din Thomas,"Sep 28, 1976"
Dione Barbosa,"May 08, 1992"
Diyar Nurgozhay,"Apr 22, 1997"
Djorden Santos,"Aug 01, 1997"
Dmitri Stepanov,--
Dmitrii Smoliakov,"Aug 05, 1982"
Dmitry Sosnovskiy,"Jul 06, 1989"
Dokonjonosuke Mishima,"Apr 19, 1972"
Dom Mar Fan,"Mar 19, 2000"
Domingo Pilarte,"Jan 05, 1990"
Dominic Waters,"Apr 11, 1989"
Dominick Cruz,"Mar 09, 1985"
Dominick Reyes,"Dec 26, 1989"
Dominique Steele,"Jan 27, 1988"
Don Frye,"Nov 23, 1965"
Don Madge,"Nov 12, 1990"
Don Shainis,"Sep 16, 1990"
Don'Tale Mayes,"Jan 16, 1992"
Donald Cerrone,"Mar 29, 1983"
Dong Hyun Kim,"Nov 17, 1981"
Dong Hyun Ma,"Sep 09, 1988"
DongHun Choi,"Jan 02, 1999"
Dongi Yang,"Dec 07, 1984"
Donnie Chappell,--
Donny Walker,"Jan 04, 1980"
Donte Johnson,"Jan 25, 1999"
Dooho Choi,"Apr 10, 1991"
Dorian Price,"Aug 20, 1977"
Doug Evans,"Oct 10, 1980"
Douglas Silva de Andrade,"Jun 22, 1985"
Drakkar Klose,"Mar 09, 1988"
Drako Rodriguez,"Jun 16, 1996"
Drew Dober,"Oct 19, 1988"
Drew Fickett,"Dec 14, 1979"
Drew McFedries,"Jul 27, 1978"
Dricus Du Plessis,"Jan 14, 1994"
Duane Ludwig,"Aug 04, 1978"
Duda Santana,"Jan 10, 1996"
Dusko Todorovic,"May 19, 1994"
Dustin Hazelett,"Apr 29, 1986"
Dustin Jacoby,"Apr 04, 1988"
Dustin Kimura,"May 21, 1989"
Dustin Neace,"Sep 12, 1986"
Dustin Ortiz,"Dec 25, 1988"
Dustin Pague,"Aug 05, 1987"
Dustin Poirier,"Jan 19, 1989"
Dustin Stoltzfus,"Nov 15, 1991"
Dwayne Cason,--
Dwight Grant,"Sep 14, 1984"
Dylan Andrews,"Nov 15, 1979"
Dylan Budka,"Jan 14, 2000"
Ebenezer Fontes Braga,"Apr 14, 1969"
Ed Herman,"Oct 02, 1980"
Eddie Alvarez,"Jan 11, 1984"
Eddie Gordon,"Jul 22, 1983"
Eddie Mendez,"Jan 16, 1984"
Eddie Ruiz,"Jun 10, 1967"
Eddie Sanchez,"Nov 04, 1982"
Eddie Wineland,"Jun 26, 1984"
Eddie Yagin,"Mar 23, 1979"
Edgar Chairez,"Jan 27, 1996"
Edgar Garcia,"Feb 22, 1984"
Edilberto de Oliveira,"Nov 22, 1982"
Edimilson Souza,"Oct 17, 1984"
Edmen Shahbazyan,"Nov 20, 1997"
Ednaldo Oliveira,"Feb 19, 1984"
Edson Barboza,"Jan 21, 1986"
Eduarda Moura,"Feb 28, 1994"
Eduardo Garagorri,"May 28, 1989"
Edward Faaloloto,"Jul 15, 1984"
Edwin DeWees,"Aug 07, 1982"
Edwin Figueroa,"Jul 31, 1984"
Efrain Escudero,"Jan 15, 1986"
Eiji Mitsuoka,"Jan 01, 1976"
Elias Garcia,"Sep 13, 1992"
Elias Silverio,"Sep 22, 1986"
Elias Theodorou,"May 31, 1988"
Elijah Smith,"Sep 05, 2002"
Eliot Marshall,"Jul 07, 1980"
Elise Reed,"Dec 05, 1992"
Elisha Ellison,"Mar 05, 1997"
Elizabeth Phillips,"Aug 20, 1986"
Elizeu Zaleski dos Santos,"Dec 11, 1986"
Elves Brener,"Sep 27, 1997"
Elvis Mutapcic,"Jul 19, 1986"
Elvis Sinosic,"Feb 13, 1971"
Emil Meek,"Aug 20, 1988"
Emily Ducote,"Jan 01, 1994"
Emily Kagan,"Jul 14, 1981"
Emily Whitmire,"May 24, 1991"
Emmanuel Yarborough,"Sep 05, 1960"
Enrique Barzola,"Apr 28, 1989"
Enrique Marin,"Sep 02, 1986"
Enson Inoue,"Apr 15, 1967"
Eric McConico,"May 09, 1990"
Eric Nolan,"Sep 13, 1997"
Eric Schafer,"Sep 20, 1977"
Eric Shelton,"Feb 02, 1991"
Eric Spicely,"Sep 29, 1986"
Eric Wisely,"Jul 25, 1984"
Erick Gonzalez,"Jan 20, 1992"
Erick Montano,"Nov 19, 1985"
Erick Silva,"Jun 21, 1984"
Ericka Almeida,"Mar 05, 1989"
Erik Koch,"Oct 04, 1988"
Erik Perez,"Nov 19, 1989"
Erik Silva,"Mar 16, 1987"
Erin Blanchfield,"May 04, 1999"
Ernest Chavez,"Jun 27, 1983"
Ernesta Kareckaite,"Jul 05, 1998"
Ernie Verdicia,--
Eryk Anders,"Apr 21, 1987"
Esteban Ribovics,"Apr 27, 1996"
Estevan Payan,"Mar 14, 1982"
Ethyn Ewing,"Feb 19, 1996"
Eugene Jackson,"Sep 23, 1966"
Eugenio Tadeu,"Aug 17, 1963"
Evan Dunham,"Dec 18, 1981"
Evan Elder,"Apr 11, 1997"
Evan Tanner,"Feb 11, 1971"
Fabiano Iha,"Jul 28, 1970"
Fabiano Scherner,"Jun 30, 1972"
Fabio Cherant,"Nov 25, 1994"
Fabio Gurgel,"Jan 18, 1970"
Fabio Maldonado,"Mar 17, 1980"
Fabricio Camoes,"Dec 23, 1978"
Fabricio Werdum,"Jul 30, 1977"
Falaniko Vitale,"Jul 14, 1974"
Fares Ziam,"Mar 21, 1997"
Farid Basharat,"Aug 02, 1997"
Fatima Kline,"Jul 12, 2000"
Felice Herrig,"Sep 18, 1984"
Felicia Spencer,"Nov 29, 1990"
Felipe Arantes,"Feb 09, 1988"
Felipe Bunes,"Oct 29, 1989"
Felipe Colares,"Mar 31, 1994"
Felipe Franco,"Jan 22, 2001"
Felipe Lima,"May 07, 1998"
Felipe Olivieri,"Apr 12, 1985"
Felipe Silva,"May 08, 1984"
Felipe dos Santos,"Sep 11, 2000"
Felix Lee Mitchell,--
Feng Xiaocan,"Oct 27, 2001"
Fernando Bruno,"Feb 24, 1982"
Fernando Padilla,"Dec 15, 1996"
Fernie Garcia,"Apr 12, 1992"
Filip Pejic,"Jul 21, 1992"
Flavio Luiz Moura,"Jan 26, 1976"
Floyd Sword,"Aug 24, 1976"
Forrest Griffin,"Mar 16, 1979"
Forrest Petz,"Sep 22, 1975"
Francimar Barroso,"Feb 28, 1980"
Francis Carmont,"Oct 11, 1981"
Francis Marshall,"Mar 03, 1999"
Francis Ngannou,"Sep 05, 1986"
Francisco Figueiredo,"Oct 23, 1989"
Francisco Prado,"Jun 16, 2002"
Francisco Rivera,"Oct 08, 1981"
Francisco Trevino,"Dec 17, 1981"
Francisco Trinaldo,"Aug 24, 1978"
Frank Camacho,"May 18, 1989"
Frank Caracci,"Feb 16, 1970"
Frank Hamaker,--
Frank Lester,"Jun 10, 1984"
Frank Mir,"May 24, 1979"
Frank Shamrock,"Dec 08, 1972"
Frank Trigg,"May 07, 1972"
Frankie Edgar,"Oct 16, 1981"
Frankie Perez,"May 11, 1989"
Frankie Saenz,"Aug 12, 1980"
Fred Ettish,"Oct 12, 1955"
Fredson Paixao,"May 13, 1979"
Fredy Serrano,"Sep 22, 1979"
Gabe Green,"May 02, 1993"
Gabe Ruediger,"Aug 29, 1977"
Gabriel Benitez,"Jun 15, 1988"
Gabriel Bonfim,"Aug 20, 1997"
Gabriel Gonzaga,"May 18, 1979"
Gabriel Miranda,"Mar 25, 1990"
Gabriel Santos,"Nov 28, 1996"
Gabriel Silva,"Aug 26, 1994"
Gabriella Fernandes,"Aug 13, 1993"
Gadzhi Omargadzhiev,"Feb 24, 1993"
Gadzhimurad Antigulov,"Feb 09, 1987"
Gaetano Pirrello,"Apr 29, 1992"
Galore Bofando,"May 22, 1982"
Gan McGee,"Nov 20, 1976"
Garett Whiteley,"Dec 13, 1980"
Garreth McLellan,"Sep 01, 1982"
Garrett Armfield,"Oct 09, 1996"
Gary Goodridge,"Jan 17, 1966"
Gasan Umalatov,"Sep 11, 1982"
Gaston Bolanos,"Sep 14, 1992"
Gauge Young,"Jul 14, 2000"
Gavin Tucker,"Jun 17, 1986"
Geane Herrera,"May 27, 1990"
Gegard Mousasi,"Aug 01, 1985"
Genaro Valdez,"Jan 16, 1992"
Genki Sudo,"Mar 08, 1978"
Geoff Neal,"Aug 28, 1990"
George Roop,"Nov 10, 1981"
George Sotiropoulos,"Jul 09, 1977"
George Sullivan,"Mar 13, 1981"
Georges St-Pierre,"May 19, 1981"
Gerald Harris,"Nov 19, 1979"
Gerald Meerschaert,"Dec 18, 1987"
Gerald Strebendt,"Mar 01, 1979"
Geraldo de Freitas,"Sep 30, 1991"
Germaine de Randamie,"Apr 24, 1984"
Gerry Harris,--
Geza Kalman,--
Gian Villante,"Aug 18, 1985"
Gianni Vazquez,"Jul 17, 1994"
Gideon Ray,"May 27, 1973"
Giga Chikadze,"Aug 25, 1988"
Gil Castillo,"Oct 21, 1965"
Gilbert Aldana,"Aug 25, 1977"
Gilbert Burns,"Jul 20, 1986"
Gilbert Melendez,"Apr 12, 1982"
Gilbert Smith,"Oct 19, 1981"
Gilbert Urbina,"Apr 05, 1996"
Gilbert Yvel,"Jun 30, 1976"
Gillian Robertson,"May 17, 1995"
Gina Mazany,"Aug 19, 1988"
Glaico Franca Moreira,"Feb 28, 1991"
Gleison Tibau,"Oct 07, 1983"
Gloria de Paula,"Jun 10, 1995"
Glover Teixeira,"Oct 28, 1979"
Godofredo Pepey,"Jul 02, 1987"
Gokhan Saki,"Oct 19, 1983"
Goran Reljic,"Mar 20, 1984"
Grant Dawson,"Feb 20, 1994"
Gray Maynard,"May 09, 1979"
Greg Hardy,"Jul 28, 1988"
Greg Soto,"Jun 03, 1986"
Greg Stott,--
Gregor Gillespie,"Nov 13, 1986"
Gregory Rodrigues,"Feb 17, 1992"
Grigory Popov,"Apr 18, 1984"
Guangyou Ning,"Dec 15, 1981"
Guido Cannetti,"Dec 19, 1979"
Guilherme Pat,"Apr 20, 1994"
Guilherme Vasconcelos,"Mar 23, 1986"
Gunnar Nelson,"Jul 28, 1988"
Guram Kutateladze,"Jan 08, 1992"
Gustavo Lopez,"Jun 27, 1989"
Guto Inocente,"May 29, 1986"
Guy Mezger,"Jan 01, 1968"
Hacran Dias,"Jun 16, 1984"
Hailey Cowan,"Feb 12, 1992"
Hakeem Dawodu,"Jul 02, 1991"
Hamdy Abdelwahab,"Jan 22, 1993"
Hannah Cifers,"Jun 26, 1992"
Hannah Goldy,"May 18, 1992"
Hans Stringer,"Jul 06, 1987"
Harold Howard,--
Harry Hardwick,"Sep 29, 1994"
Harry Hunsucker,"Jan 03, 1989"
Harry Moskowitz,--
Hatsu Hioki,"Jul 18, 1983"
Hayato Sakurai,"Aug 24, 1975"
Hayder Hassan,"Oct 20, 1982"
Heath Herring,"Mar 02, 1978"
Heather Clark,"Sep 19, 1980"
Hecher Sosa,"Aug 25, 1995"
Hector Aldana,"Aug 17, 1988"
Hector Lombard,"Feb 02, 1978"
Hector Ramirez,"Mar 28, 1976"
Hector Sandoval,"Jul 19, 1986"
Hector Urbina,"Sep 17, 1987"
Heili Alateng,"Dec 14, 1991"
Henrique da Silva,"Sep 01, 1989"
Henry Briones,"Oct 22, 1980"
Henry Cejudo,"Feb 09, 1987"
Henry Martinez,"Aug 07, 1983"
Herbert Burns,"Feb 02, 1988"
Hermes Franca,"Aug 26, 1974"
Hernani Perpetuo,"May 24, 1985"
Holly Holm,"Oct 17, 1981"
Homer Moore,"Nov 27, 1971"
Horacio Gutierrez,"Sep 15, 1990"
Houston Alexander,"Mar 22, 1972"
Houston Dorr,--
Hu Yaozong,"Apr 07, 1995"
Hugo Duarte,"Aug 09, 1968"
Hugo Viana,"Sep 26, 1982"
Humberto Bandenay,"Sep 04, 1994"
Humberto Brown Morrison,"Nov 03, 1984"
Hunter Azure,"Mar 02, 1992"
Hyder Amil,"May 28, 1990"
Hyun Gyu Lim,"Jan 16, 1985"
HyunSung Park,"Nov 04, 1995"
Ian Entwistle,"Nov 19, 1986"
Ian Freeman,"Nov 10, 1966"
Ian Garry,"Nov 17, 1997"
Ian Heinisch,"Aug 05, 1988"
Ian Loveland,"Sep 07, 1983"
Ian Machado Garry,"Nov 17, 1997"
Ian McCall,"May 07, 1984"
Iasmin Lucindo,"Jan 08, 2002"
Ibo Aslan,"Apr 23, 1996"
Icho Larenas,"Mar 12, 1980"
Ignacio Bahamondes,"Aug 27, 1997"
Igor Araujo,"Dec 06, 1980"
Igor Pokrajac,"Jan 02, 1979"
Igor Severino,"Apr 21, 2003"
Igor Zinoviev,"May 23, 1966"
Ihor Potieria,"May 29, 1996"
Ike Villanueva,"Apr 04, 1984"
Ikram Aliskerov,"Dec 07, 1992"
Ikuhisa Minowa,"Jan 12, 1976"
Ildemar Alcantara,"Nov 18, 1982"
Ilia Topuria,"Jan 21, 1997"
Iliarde Santos,"Sep 25, 1980"
Ilir Latifi,"Jul 28, 1982"
Imanol Rodriguez,"Nov 15, 1999"
Impa Kasanganay,"Jan 17, 1994"
Inoue Mizuki,
Ion Cutelaba,"Dec 14, 1993"
Irene Aldana,"Mar 26, 1988"
Irina Alekseeva,"Jun 27, 1990"
Irwin Rivera,"Feb 14, 1989"
Isaac Dulgarian,"Jul 04, 1996"
Isaac Thomson,"May 03, 2002"
Isaac Vallie-Flagg,"Apr 08, 1978"
Isabela de Padua,"Sep 04, 1991"
Islam Dulatov,"Aug 02, 1998"
Islam Makhachev,"Oct 27, 1991"
Ismael Bonfim,"Dec 28, 1995"
Ismail Naurdiev,"Aug 18, 1996"
Israel Adesanya,"Jul 22, 1989"
Issei Tamura,"Mar 12, 1984"
Istela Nunes,"Jul 23, 1992"
Iuri Alcantara,"Aug 04, 1980"
Ivan Erslan,"Nov 15, 1991"
Ivan Jorge,"Nov 07, 1980"
Ivan Menjivar,"May 30, 1982"
Ivan Salaverry,"Jan 11, 1971"
Ivan Serati,--
Ivana Petrovic,"Jun 11, 1994"
Iwo Baraniewski,"Nov 20, 1998"
Izabela Badurek,"Jul 11, 1991"
JC Cottrell,"Nov 04, 1989"
JJ Aldrich,"Sep 29, 1992"
JP Buys,"Apr 30, 1996"
Jacare Souza,"Dec 07, 1979"
Jack Della Maddalena,"Sep 10, 1996"
Jack Hermansson,"Jun 10, 1988"
Jack Jenkins,"Nov 03, 1993"
Jack Marshman,"Dec 19, 1989"
Jack May,"Apr 14, 1981"
Jack Nilson,--
Jack Shore,"Feb 06, 1995"
Jackson McVey,"Mar 25, 1999"
Jacob Kilburn,"Jun 28, 1995"
Jacob Malkoun,"Aug 26, 1995"
Jacob Volkmann,"Sep 05, 1980"
Jacobe Smith,"Jan 17, 1996"
Jacqueline Cavalcanti,"Aug 29, 1997"
Jafel Filho,"May 05, 1993"
Jai Herbert,"May 13, 1988"
Jailton Almeida,"Jun 26, 1991"
Jairzinho Rozenstruik,"Mar 17, 1988"
Jake Collier,"Oct 25, 1988"
Jake Ellenberger,"Mar 28, 1985"
Jake Hadley,"Aug 03, 1996"
Jake Hecht,"Feb 09, 1984"
Jake Lindsey,"Jun 21, 1986"
Jake Matthews,"Aug 19, 1994"
Jake O'Brien,"Sep 25, 1984"
Jake Rosholt,"Feb 09, 1982"
Jake Shields,"Jan 09, 1979"
Jakub Wiklacz,"Sep 10, 1996"
Jalin Turner,"May 18, 1995"
Jamahal Hill,"May 19, 1991"
Jamal Pogues,"Dec 01, 1995"
Jamall Emmers,"Jul 24, 1989"
James Bochnovic,"Feb 13, 1989"
James Giboo,"Jan 06, 1978"
James Hammortree,"Nov 29, 1983"
James Head,"Feb 09, 1984"
James Irvin,"Sep 12, 1978"
James Krause,"Jun 04, 1986"
James Lee,"Sep 22, 1973"
James Llontop,"Aug 02, 1999"
James McSweeney,"Oct 24, 1980"
James Moontasri,"Apr 10, 1988"
James Mulheron,"Feb 20, 1988"
James Te Huna,"Sep 29, 1981"
James Toney,"Aug 24, 1968"
James Vick,"Feb 23, 1987"
James Wilks,"May 04, 1978"
James Zikic,"Mar 01, 1977"
Jamey Simmons,"Sep 11, 1992"
Jamey-Lyn Horth,"Mar 30, 1990"
Jamie Moyle,"Mar 17, 1989"
Jamie Mullarkey,"Aug 17, 1994"
Jamie Pickett,"Aug 29, 1988"
Jamie Varner,"Oct 12, 1984"
Jamie Yager,"Nov 29, 1983"
Jan Blachowicz,"Feb 24, 1983"
Jaqueline Amorim,"Jun 24, 1995"
Jared Cannonier,"Mar 16, 1984"
Jared Gooden,"Dec 05, 1993"
Jared Gordon,"Sep 06, 1988"
Jared Hamman,"Mar 07, 1982"
Jared Papazian,"Feb 01, 1988"
Jared Rollins,"Jan 26, 1977"
Jared Rosholt,"Aug 04, 1986"
Jared Vanderaa,"May 12, 1992"
Jarjis Danho,"Oct 15, 1983"
Jarno Errens,"Nov 17, 1994"
Jarred Brooks,"May 02, 1993"
Jasmine Jasudavicius,"Mar 01, 1989"
Jason Black,"Jul 15, 1972"
Jason Brilz,"Jul 07, 1975"
Jason Day,"May 19, 1981"
Jason DeLucia,"Jul 24, 1969"
Jason Dent,"Jun 12, 1980"
Jason Fairn,--
Jason Gilliam,"Oct 31, 1972"
Jason Godsey,"Jan 01, 1964"
Jason Gonzalez,"Feb 28, 1990"
Jason High,"Oct 12, 1981"
Jason Knight,"Jul 14, 1992"
Jason Lambert,"Jun 03, 1975"
Jason MacDonald,"Jun 03, 1975"
Jason Miller,"Dec 24, 1980"
Jason Novelli,"Jun 08, 1979"
Jason Reinhardt,"Oct 31, 1969"
Jason Saggo,"Nov 23, 1985"
Jason Tan,"Dec 17, 1981"
Jason Thacker,"Aug 18, 1975"
Jason Von Flue,"Aug 01, 1975"
Jason Witt,"Nov 07, 1986"
Jason Young,"Jun 28, 1986"
Javid Basharat,"Sep 07, 1995"
Javier Reyes,"Oct 10, 1993"
Javier Vazquez,"Jul 16, 1977"
Jay Cucciniello,"Jul 23, 1986"
Jay Hieron,"Jul 29, 1976"
Jay Perrin,"Jun 15, 1993"
Jay Silva,"May 25, 1981"
Jean Matsumoto,"Sep 09, 1999"
Jean Silva,"Dec 27, 1996"
Jean-Paul Lebosnoyani,"Jan 27, 1999"
Jeff Cox,"Aug 02, 1968"
Jeff Curran,"Sep 02, 1977"
Jeff Hougland,"Aug 02, 1978"
Jeff Hughes,"May 17, 1988"
Jeff Joslin,"Apr 30, 1975"
Jeff Molina,"Jul 17, 1997"
Jeff Monson,"Jan 18, 1971"
Jeff Newton,"Dec 11, 1966"
Jeka Saragih,"Jan 01, 1995"
Jenel Lausa,"Aug 01, 1988"
Jennifer Maia,"Oct 06, 1988"
Jens Pulver,"Dec 06, 1974"
JeongYeong Lee,"Nov 13, 1995"
Jeremiah Wells,"Oct 30, 1986"
Jeremy Horn,"Aug 25, 1975"
Jeremy Jackson,"Sep 19, 1982"
Jeremy Kennedy,"Sep 16, 1992"
Jeremy Kimball,"Jan 03, 1991"
Jeremy Larsen,"May 18, 1984"
Jeremy Stephens,"May 25, 1986"
Jermaine Andre,"Jul 16, 1973"
Jerome Rivera,"Apr 22, 1995"
Jerrod Sanders,"Oct 01, 1979"
Jerry Bohlander,"Feb 12, 1974"
Jess Liaudin,--
Jessamyn Duke,"Jun 24, 1986"
Jesse Bongfeldt,"Aug 28, 1980"
Jesse Butler,"May 24, 1992"
Jesse Forbes,"Oct 24, 1984"
Jesse Lennox,"Mar 10, 1982"
Jesse Ronson,"Dec 24, 1985"
Jesse Sanders,--
Jesse Strader,"May 29, 1991"
Jesse Taylor,"Jan 02, 1983"
Jessica Aguilar,"May 08, 1982"
Jessica Andrade,"Sep 25, 1991"
Jessica Eye,"Jul 27, 1986"
Jessica Penne,"Jan 30, 1983"
Jessica Rakoczy,"Apr 14, 1977"
Jessica-Rose Clark,"Nov 28, 1987"
Jessin Ayari,"May 31, 1992"
Jesus Aguilar,"Mar 13, 1996"
Jesus Pinedo,"Jun 22, 1996"
Jhonata Diniz,"Jun 23, 1991"
Ji Yeon Kim,"Oct 18, 1989"
Jianping Yang,"Nov 27, 1988"
Jim Alers,"Oct 14, 1986"
Jim Miller,"Aug 30, 1983"
Jim Mullen,--
Jim Wallhead,"Mar 14, 1984"
Jimi Manuwa,"Feb 18, 1980"
Jimmie Rivera,"Jun 29, 1989"
Jimmy Crute,"Mar 04, 1996"
Jimmy Flick,"Sep 07, 1990"
Jimmy Quinlan,"May 25, 1986"
Jimy Hettes,"Jun 09, 1987"
Jin Soo Son,"Apr 01, 1993"
Jinh Yu Frey,"May 20, 1985"
Jiri Prochazka,"Oct 14, 1992"
Joachim Christensen,"Nov 07, 1978"
Joanderson Brito,"Feb 11, 1995"
Joanna Jedrzejczyk,"Aug 18, 1987"
Joanne Calderwood,
Joanne Wood,"Dec 23, 1985"
Joao Pierini,"Dec 11, 1971"
Joao Roque,"Jul 22, 1971"
Joao Zeferino,"Jan 15, 1986"
Joaquim Silva,"Feb 05, 1989"
Joaquin Buckley,"Apr 27, 1994"
Joby Sanchez,"Jun 24, 1991"
Jocelyn Jones-Lybarger,"Oct 04, 1985"
Jodie Esquibel,"May 07, 1986"
Joe Brammer,"Aug 23, 1983"
Joe Charles,--
Joe Doerksen,"Oct 09, 1977"
Joe Duffy,"Feb 18, 1988"
Joe Ellenberger,"Mar 28, 1985"
Joe Giannetti,"Jul 05, 1995"
Joe Jordan,"Jul 27, 1978"
Joe Lauzon,"May 22, 1984"
Joe Merritt,"Mar 07, 1984"
Joe Moreira,"Jul 03, 1961"
Joe Pardo,--
Joe Proctor,"Aug 10, 1985"
Joe Pyfer,"Sep 17, 1996"
Joe Riggs,"Sep 23, 1982"
Joe Slick,"Oct 17, 1977"
Joe Solecki,"Aug 27, 1993"
Joe Son,"Nov 22, 1970"
Joe Soto,"Mar 22, 1987"
Joe Stevenson,"Jun 15, 1982"
Joe Vedepo,"Jan 01, 1983"
Joe Veres,"Nov 09, 1977"
Joel Alvarez,"Mar 02, 1993"
Joey Beltran,"Dec 08, 1981"
Joey Gambino,"Oct 26, 1988"
Joey Gilbert,"Jun 05, 1976"
Joey Gomez,"Aug 29, 1989"
Joey Roberts,"Nov 11, 1977"
John Albert,"Oct 13, 1986"
John Alessio,"Jul 05, 1979"
John Allan,"Feb 22, 1993"
John Campetella,--
John Castaneda,"Dec 18, 1991"
John Cholish,"Dec 17, 1983"
John Cofer,"Apr 29, 1984"
John Dodson,"Sep 26, 1984"
John Dowdy,--
John Gunderson,"Jan 05, 1979"
John Gunther,"Nov 24, 1985"
John Halverson,"Sep 08, 1972"
John Hathaway,"Jul 23, 1987"
John Howard,"Mar 01, 1983"
John Kolosci,"Nov 26, 1974"
John Lewis,--
John Lineker,"Jun 12, 1990"
John Lober,"Feb 26, 1968"
John Maguire,"May 19, 1983"
John Makdessi,"May 03, 1985"
John Marsh,"Sep 15, 1970"
John Matua,--
John Moraga,"Mar 20, 1984"
John Phillips,"Jun 09, 1985"
John Polakowski,"Jun 21, 1981"
John Salter,"Mar 21, 1985"
John Teixeira,"Nov 18, 1986"
John Yannis,"Jul 07, 1994"
Johnny Bedford,"Jan 06, 1983"
Johnny Case,"Jun 28, 1989"
Johnny Eduardo,"Aug 03, 1978"
Johnny Munoz,"Feb 16, 1993"
Johnny Rees,"Oct 21, 1982"
Johnny Rhodes,--
Johnny Walker,"Mar 30, 1992"
Johny Hendricks,"Sep 12, 1983"
Jon Delos Reyes,"Aug 19, 1987"
Jon Fitch,"Feb 24, 1978"
Jon Hess,--
Jon Jones,"Jul 19, 1987"
Jon Madsen,"Feb 12, 1980"
Jon Manley,"Jul 07, 1986"
Jon Olav Einemo,"Dec 10, 1975"
Jon Tuck,"Aug 28, 1984"
Jonathan Brookins,"Aug 13, 1985"
Jonathan Goulet,"Jul 13, 1979"
Jonathan Martinez,"Apr 20, 1994"
Jonathan Meunier,"Aug 04, 1987"
Jonathan Micallef,"Mar 05, 1999"
Jonathan Pearce,"May 01, 1992"
Jonathan Wiezorek,"Feb 10, 1978"
Jonathan Wilson,"Jul 17, 1987"
Jonavin Webb,"Apr 28, 1989"
Jonny Parsons,"Sep 06, 1991"
JooSang Yoo,"Jan 21, 1994"
Jordan Espinosa,"Nov 08, 1989"
Jordan Griffin,"Feb 28, 1990"
Jordan Johnson,"Nov 18, 1988"
Jordan Leavitt,"Jun 02, 1995"
Jordan Mein,"Oct 10, 1989"
Jordan Radev,"Sep 28, 1976"
Jordan Rinaldi,"Sep 25, 1987"
Jordan Vucenic,"Mar 02, 1996"
Jordan Williams,"Oct 13, 1990"
Jordan Wright,"Oct 07, 1991"
Jorge Gurgel,"Jan 25, 1977"
Jorge Lopez,"Nov 21, 1988"
Jorge Masvidal,"Nov 12, 1984"
Jorge Patino,"Aug 05, 1973"
Jorge Rivera,"Feb 28, 1972"
Jorge Santiago,"Oct 09, 1980"
Jorge de Oliveira,"Jan 22, 1980"
Jose Aldo,"Sep 09, 1986"
Jose Daniel Medina,"May 17, 1991"
Jose Delgado,"Apr 21, 1998"
Jose Johnson,"May 20, 1995"
Jose Maria,"Jan 04, 1982"
Jose Ochoa,"Dec 31, 2000"
Jose Quinonez,"Jul 28, 1990"
Jose Torres,"Aug 02, 1992"
Josefine Knutsson,"Jan 16, 1996"
Joselyne Edwards,"Sep 29, 1995"
Joseph Benavidez,"Jul 31, 1984"
Joseph Gigliotti,"Aug 13, 1993"
Joseph Holmes,"Jul 04, 1995"
Joseph Morales,"Aug 22, 1994"
Joseph Sandoval,"May 11, 1986"
Josh Barnett,"Nov 10, 1977"
Josh Bryant,"Apr 23, 1980"
Josh Clopton,"Jul 11, 1981"
Josh Copeland,"Oct 20, 1982"
Josh Culibao,"May 24, 1994"
Josh Emmett,"Mar 04, 1985"
Josh Ferguson,"May 13, 1988"
Josh Fremd,"Jan 15, 1994"
Josh Grispi,"Oct 14, 1988"
Josh Haynes,"Jul 30, 1977"
Josh Hendricks,"Aug 28, 1976"
Josh Hokit,"Nov 12, 1997"
Josh Koscheck,"Nov 30, 1977"
Josh Neer,"Mar 24, 1983"
Josh Parisian,"Jun 28, 1989"
Josh Quinlan,"Feb 06, 1993"
Josh Rafferty,"Jan 06, 1981"
Josh Samman,"Mar 14, 1988"
Josh Sampo,"Jul 24, 1984"
Josh Shockley,"Nov 15, 1989"
Josh Shockman,"Dec 29, 1980"
Josh Stansbury,"Nov 19, 1984"
Josh Thomson,"Sep 21, 1978"
Joshua Burkman,"Apr 10, 1980"
Joshua Van,"Oct 10, 2001"
Joshua Weems,"May 05, 1994"
Josiah Harrell,"Nov 13, 1998"
Josiane Nunes,"Dec 23, 1993"
Josias Musasa,"Oct 10, 1998"
Journey Newson,"Mar 07, 1989"
Juan Adams,"Jan 16, 1992"
Juan Espino,"Oct 09, 1980"
Juan Manuel Puig,"Apr 23, 1989"
Juancamilo Ronderos,"Feb 17, 1995"
Jules Bruchez,"Aug 16, 1977"
Julia Avila,"May 11, 1988"
Julia Polastri,"Mar 05, 1998"
Julian Erosa,"Jul 31, 1989"
Julian Marquez,"May 08, 1990"
Julian Sanchez,--
Juliana Lima,"Mar 15, 1982"
Juliana Miller,"May 07, 1996"
Julianna Pena,"Aug 19, 1989"
Julie Kedzie,"Mar 18, 1981"
Julija Stoliarenko,"Apr 08, 1993"
